"Domain.Code","Domain","Area.Code..FAO.","Area","Element.Code","Element","Item.Code","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1997,1997,"1000 ha",117.4074,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1998,1998,"1000 ha",122.0112,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1999,1999,"1000 ha",126.5336,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2000,2000,"1000 ha",130.713,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2001,2001,"1000 ha",132.6952,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2002,2002,"1000 ha",134.8634,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2003,2003,"1000 ha",136.2526,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2004,2004,"1000 ha",137.6419,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2005,2005,"1000 ha",139.7054,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2006,2006,"1000 ha",141.8562,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2007,2007,"1000 ha",144.8672,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2008,2008,"1000 ha",147.297,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2009,2009,"1000 ha",149.7093,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2010,2010,"1000 ha",152.2088,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2011,2011,"1000 ha",154.8362,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2012,2012,"1000 ha",157.824,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2013,2013,"1000 ha",161.4687,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2014,2014,"1000 ha",167.1129,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2015,2015,"1000 ha",171.397,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2016,2016,"1000 ha",171.5016,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2017,2017,"1000 ha",172.0829,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2018,2018,"1000 ha",173.2047,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2019,2019,"1000 ha",173.2919,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1992,1992,"1000 ha",4091.8393,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1993,1993,"1000 ha",4092.0649,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1994,1994,"1000 ha",4092.3667,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1995,1995,"1000 ha",4070.5717,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1996,1996,"1000 ha",4067.2561,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1997,1997,"1000 ha",4061.2177,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1998,1998,"1000 ha",4054.8771,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1999,1999,"1000 ha",4044.9135,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2000,2000,"1000 ha",4036.9073,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2001,2001,"1000 ha",4059.9912,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2002,2002,"1000 ha",4072.8709,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2003,2003,"1000 ha",4115.3371,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2004,2004,"1000 ha",4133.1437,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2005,2005,"1000 ha",4142.5853,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2006,2006,"1000 ha",4152.5376,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2007,2007,"1000 ha",4171.7203,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2008,2008,"1000 ha",4193.8649,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2009,2009,"1000 ha",4204.8976,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2010,2010,"1000 ha",4210.8693,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2011,2011,"1000 ha",4216.1431,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2012,2012,"1000 ha",4216.016,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2013,2013,"1000 ha",4217.5378,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2014,2014,"1000 ha",4229.4727,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2015,2015,"1000 ha",4230.1853,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2016,2016,"1000 ha",4237.482,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2017,2017,"1000 ha",4244.2314,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2018,2018,"1000 ha",4254.6283,"FC","Calculated data"
"LC","Land Cover",27,"Bulgaria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2019,2019,"1000 ha",4250.7767,"FC","Calculated data"
