DATAFLOW,LAST UPDATE,freq,indic_ag,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2007,33,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2008,31.7,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2009,33,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2010,33.5,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2011,36.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2012,32.1,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2013,36.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2014,37.5,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2015,41.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2016,42.1,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2017,41.6,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2018,42.5,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,ES,2019,40.8,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2005,43.1,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2006,38.2,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2007,34.8,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2008,32.6,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2009,41.1,
