Name,ESPECE,SGIo,SAI,SGIc,ORFUNC,SRI,RANGE BIRDLIFE
Ficedula hypoleuca,FICHYP,1.958992767,1.15827338129496,45.6666863444748,0.282220631,140,11.723
Sylvia communis,SYLCOM,1.962450514,1.34081265269384,25.2300254842502,0.250662951,1416,61.31
Dryobates minor,DENMIN,1.971588121,1.0760667903525,40.413277543544,0.288238762,566,59.168
Muscicapa striata,MUSSTR,1.98550412,1.21329987452949,42.912792028532,0.274695218,388,61.492
Turdus viscivorus,TURVIS,2.015779992,1.24605168700646,29.7690472023858,0.239448282,1285,61.089
Sylvia borin,SYLBOR,2.025766407,1.18902024731621,33.3852750756831,0.251721188,1146,60.762
Aegithalos caudatus,AEGCAU,2.03115891,2.09410646387833,36.4863329345506,0.256387558,1376,63.471
Certhia brachydactyla,CERBRA,2.046583299,1.17864895086496,29.2512202388093,0.291411872,1543,63.061
Dendrocopos major,DENMAJ,2.048042815,1.18616562432607,27.3068845491134,0.294189367,1703,62.518
Phasianus colchicus,PHACOL,2.051800355,1.20065352803023,32.3229348885705,0.255535089,1241,61.922
Hippolais polyglotta,HIPPOL,2.056050894,1.23715306402858,32.6859892292834,0.285029544,1308,61.935
Upupa epops,UPUEPO,2.057843698,1.1807025617426,35.9853056689087,0.287206973,778,56.967
Oriolus oriolus,ORIORI,2.063800657,1.18473684210526,31.5172071461829,0.256097026,1259,55.767
Luscinia megarhynchos,LUSMEG,2.065244378,1.66212136292757,28.4281633022761,0.245904987,1464,60.365
Jynx torquilla,JYNTOR,2.085058153,1.12614107883817,43.4142464827197,0.235393717,390,42.803
Garrulus glandarius,GARGLA,2.113140072,1.38037474836112,30.9959795116388,0.270124578,1776,63.462
Erithacus rubecula,ERIRUB,2.130974695,1.43844486732213,29.6508187149662,0.243496993,1894,63.474
Streptopelia turtur,STRTUR,2.155016814,1.28648589666648,35.3543796740428,0.319546015,1507,61.508
Accipiter nisus,ACCNIS,2.156231892,1.06214689265537,47.2710532450153,0.297160523,277,63.472
Troglodytes troglodytes,TROTRO,2.156947979,1.51224170463436,31.4812562094357,0.250492472,1878,63.48
Phylloscopus collybita,PHYCOL,2.160233994,1.41417091114884,31.2907633753138,0.25602332,1943,62.616
Turdus philomelos,TURPHI,2.172802593,1.33451592095233,33.1426347119542,0.229684631,1773,60.89514
Corvus corone,CORCOR,2.180495842,1.97385647994697,35.9860396721412,0.311586969,1976,63.478
Cuculus canorus,CUCCAN,2.188828206,1.18594601365316,34.0896477114022,0.288209306,1772,63.478
Columba palumbus,COLPAL,2.191999283,1.82314962467426,35.2917524652006,0.243073668,1988,63.402
Prunella modularis,PRUMOD,2.20299898,1.22575905974535,38.7120672823755,0.243184582,1419,58.249
Cyanistes caeruleus,PARCAE,2.219532707,1.51099254898353,37.018228968565,0.27012562,1912,62.709
Picus viridis,PICVIR,2.23902352,1.09910507126284,39.9121735963943,0.289355842,1745,63.478
Fringilla coelebs,FRICOE,2.260495422,1.9733876286886,37.9713698911753,0.24164698,2017,63.458
Turdus merula,TURMER,2.274035329,1.8697461390231,39.087334975753,0.244503497,2039,63.478
Sylvia atricapilla,SYLATR,2.276896406,1.80922902932992,39.5821510779179,0.250648708,2027,63.466
Parus major,PARMAJ,2.28157875,1.61135544272259,40.2586970517403,0.246973774,2022,63.478
