Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1995","1995","kg/ha","1.42","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1996","1996","kg/ha","1.42","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1997","1997","kg/ha","1.43","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1998","1998","kg/ha","9.87","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1999","1999","kg/ha","6.72","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2000","2000","kg/ha","7.01","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2001","2001","kg/ha","9.3","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2002","2002","kg/ha","26.02","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2003","2003","kg/ha","28.65","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2004","2004","kg/ha","31.94","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2005","2005","kg/ha","35.11","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2006","2006","kg/ha","27.85","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2007","2007","kg/ha","27.65","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2008","2008","kg/ha","25.81","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2009","2009","kg/ha","29.96","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2010","2010","kg/ha","31.08","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2011","2011","kg/ha","33.54","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2012","2012","kg/ha","31.85","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2013","2013","kg/ha","32.9","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2014","2014","kg/ha","32.91","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2015","2015","kg/ha","41.27","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2016","2016","kg/ha","49.1","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2017","2017","kg/ha","30.77","Fc","Calculated data"
